event_id,name,start_date,end_date,location,category
1050,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018 ",12/5/18,13/5/18,TaianWC,World Cup
1051,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,2/6/18,3/6/18,TokyoWC,World Cup
1052,IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8/6/18,9/6/18,VailWC,World Cup
1053,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018 ",6/7/18,7/7/18,VillarsWC,World Cup
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 ",11/7/18,13/7/18,ChamonixWC,World Cup
1055,IFSC Climbing Worldcup (L) - Briançon (FRA) 2018 ,20/7/18,21/7/18,BriançonWC,World Cup
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018 ",27/7/18,28/7/18,ArcoWC,World Cup
1057,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,17/8/18,18/8/18,MunichWC,World Cup
1058,IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,29/9/18,30/9/18,KranjWC,World Cup
1059,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",20/10/18,21/10/18,Wujiang,World Cup
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",27/10/18,28/10/18,XiamenWC,World Cup
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,6/9/18,16/9/18,WCH Innsbruck,World Championship
1062,IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,15/9/18,16/9/18,WCH Combined,World Championship
1063,IFSC Youth World Championships -  Moscow (RUS) 2018,9/8/18,16/8/18,WYCH Central Saanich,World Championship
1067,Asia Cup (B) - Hong Kong (HKG) 2018,10/3/18,11/3/18,Asia_Cup_18,Continental
1068,"Asia Cup (B,S) - Bangkok (THA) 2018",15/6/18,17/6/18,Asia_Cup_18,Continental
1069,Asian Championships - Kurayoshi (JPN) 2018 ,7/11/18,11/11/18,ACH Kurayoshi ,Continental
1070,Asian Championships Combined - Kurayoshi (JPN) 2018 ,11/11/18,11/11/18,ACH Kurayoshi comb,Continental
1072,Asian Youth Championships - Chongqing (CHN) 2018,1/11/18,4/11/18,Asian_Youth_Chp_18,Continental
